product_name,average_review_rating,amazon_category_and_sub_category,number_of_reviews,customers_who_bought_this_item_also_bought,items_customers_buy_after_viewing_this_item
Peppa Pig Jumbolino Game,4.9,Games > Educational Games,9.0,Peppa-Pig-Noisy-Friends-Game > Inspiration  > Jumbo-Games-10944-Dominos > Peppa-Pig-17439-Memo-Game > Peppa-Pig-Giant-Playing-Cards > Peppa-Pig-Jumping-Pigs-Game,Peppa-Giant-Snakes-Ladders-Game > Peppa-Pig-Marvellous  > Peppa-Pig-Jigsaw-Puzzle-Pack > Peppa-Pig-17439-Memo-Game
Traditional Garden Games Sports Day Set,4.6,Games > Educational Games,61.0,Winners-Medals-Party-Fillers-Pack > Sports-Day-Rosette-Stickers > Amscan-International  > School-Stickers-Sports-Day-Variety > Melissa-Doug-Activity-Cones-Pack-y > 4pcs-Elastic-Rope-3-Legged-Race,Winners-Medals-Party-Fillers-Pack > ClubKing-Ltd-Bean-Plain-Mixed > Early-Learning-Centre-Spoon-Race > Melissa-Doug-Activity-Cones-Pack-y
Science Lab- Top - Stretchy Elastic,5.0,Games > Educational Games,1.0,,
"Monkey Drum ""Animals""",5.0,Games > Educational Games,1.0,,
Mattel - Scene It? Game Pack,4.7,Games > Mystery Games,3.0,Best-TV-Movies-Board-Game > Scene-It-The-DVD-Game > Scene-It-Movies-2nd-Edition > Scene-Movie-Edition-DVD-Game > Comedy-Movies-Deluxe-Family-Edition > Scene-Music-Edition-Game,Best-TV-Movies-Board-Game > Scene-It-The-DVD-Game > Scene-It-Movies-2nd-Edition > Scene-Movie-Edition-DVD-Game
Organic Chemistry Molecular Model Lock Puzzle Toy,4.0,Games > Educational Games,3.0,Vintage-Wooden-Teaser-Puzzle-Hobbies > Kongming-Luban-Wooden-Bucket-Puzzle > Professor-Puzzle-Chunky-Wooden-Puzzles > Goki-Pyramid-with-3-Sides-Puzzle > Goki-The-Magic-Cube-Puzzle > Luban-Kongming-Wooden-Educational,GoolRC-Organic-Inorganic-Chemistry-Molecular > Goki-The-Magic-Cube-Puzzle > Kongming-Luban-Wooden-Bucket-Puzzle > Goki-Pyramid-with-3-Sides-Puzzle
Polarity,4.0,Games > Educational Games,9.0,Khet-2-0-Laser-Strategy-Game > Sophisticated  > WiWa-Spiele-790016-BARRAGOON-exciting > Pegasus-Spiele-GmbH-Fungi-Board > The-Green-Board-Game-20013 > Learning-Resources-Super-Magnet-Lab,Khet-2-0-Laser-Strategy-Game
Domino Express Sky Rider,5.0,Games > Dominoes & Tile Games,1.0,Adams-Domino-Express-Twister-Craft > Adams-Domino-Express-X-Treme-Craft > Domino-Express-9821-Duel > Toyrific-TY5295-Domino-Demolition  > Ideal-9997-Domino-Express-Factory > Grafix-Monster-Piece-Domino-Rally,Toys-Pure-Wooden-Domino-Rally > Adams-Domino-Express-Twister-Craft > Adams-Domino-Express-X-Treme-Craft > Tobar-00435-Wooden-Domino-Race
Frozen Domino Brainteasers,5.0,Games > Dominoes & Tile Games,1.0,Game-The-Snow-Queen-families > Educa-Borras-Frozen-Lotto-Game > Frozen-0605016-Memo-Brainteasers  > FROZEN-School-Storage-Colouring-30-Piece > 16256-Conector-Junior-Frozen > WDK-A1503253-Set-juegos-Frozen-Disney,Educa-Borras-Frozen-Wooden-Domino
Orchard Toys Dolls House,4.8,Games > Educational Games,76.0,Orchard-Toys-263-Magical-Castle > Orchard-Toys-5011863300614  > Orchard-Toys-268-Fairy-Cottage > Orchard-Toys-At-the-Stable > Orchard-Toys-216-Whos-Jungle > Orchard-Toys-228-Pirate-Ship,Orchard-Toys-263-Magical-Castle > Orchard-Toys-216-Whos-Jungle > Orchard-Toys-At-the-Stable > Orchard-Toys-003-Shopping-List
Orchard Toys Once Upon a Time Dominoes,4.9,Games > Dominoes & Tile Games,8.0,Orchard-Toys-214-Fairy-Tales > Orchard-Toys-Goldilocks  > Orchard-Toys-263-Magical-Castle > Orchard-Toys-Pigs-in-Pants > Orchard-Toys-Baa-Board-Game > Orchard-Toys-25-Doodlebugs,Orchard-Toys-92911-Magic-Cauldron > Orchard-Toys-Three-Little-Pigs > Orchard-Toys-003-Shopping-List > Orchard-Toys-Party
BRAIN BOX THE WORLD,5.0,Games > Educational Games,1.0,Green-Board-Game-Co-38030W > The-Green-Board-Game-Co > Brainbox-38172W-BrainBox-Animals > Brainbox-90046-BrainBox-Science > The-Green-Board-Game-GNBG4 > BrainBox-Once-Upon-a-Time,Green-Board-Game-Co-38030W > The-Green-Board-Game-Co > Brainbox-38172W-BrainBox-Animals > The-Green-Board-Game-01788
Early Learning Centre Tap A Shape,4.3,Characters & Brands > Early Learning Centre,4.0,Tobar-08405-Tap-Art > Bigjigs-Toys-BIGJIGS-BJ158-Pin-a-Shape > Hammer-Nails-Tap-Art-Set > Tap-Creative-Art-Set > Bigjigs-Toys-Farm-Pin-a-Shape > SES-Creative-Hammer-Tic-Imagination,Tobar-08405-Tap-Art > Bigjigs-Toys-BIGJIGS-BJ158-Pin-a-Shape > Hammer-Nails-Tap-Art-Set > Tap-Creative-Art-Set
LeapFrog Explorer Game: Bubble Guppies (for LeapPad and Leapster),4.7,Characters & Brands > LeapFrog,62.0,LeapFrog-39145-Umizoomi-Learning-Leapster > LeapFrog-Explorer-Game-McStuffins  > LeapFrog-Explorer-Game-Factory-Leapster > LeapFrog-LeapPad-Interactive  > LeapFrog-Explorer-Game-Adventure-Leapster > LeapFrog-Explorer-Game-Pirates-Leapster,LeapFrog-Explorer-Game-McStuffins  > LeapFrog-Explorer-Game-Pirates-Leapster > LeapFrog-Explorer-Game-Adventure-Leapster > LeapFrog-39145-Umizoomi-Learning-Leapster
